"","WBA.Close","XOM.Close","JNJ.Close","JPM.Close","VZ.Close","UTX.Close","INTC.Close","AXP.Close","MMM.Close","MCD.Close","CSCO.Close","PFE.Close","DWDP.Close","V.Close","CVX.Close","CAT.Close","MRK.Close","MSFT.Close","TRV.Close","NKE.Close","KO.Close","PG.Close","WMT.Close","DIS.Close","UNH.Close","GS.Close","AAPL.Close","HD.Close","BA.Close","IBM.Close"
"17",87.610001,81.080002,122.730003,90.330002,50.599998,112.459999,36.529999,79.760002,187.410004,128.649994,34.32,34.259998,63.549999,88.43,110.120003,95.480003,66.160004,64.620003,122.269997,57.860001,41.779999,91.050003,72.389999,110.32,163.059998,247.350006,136.660004,145.949997,177.440002,181.350006
"18",87.220001,81.540001,122.400002,90.43,49.939999,112.809998,36.509998,80.169998,186.910004,126.989998,34.259998,34.279999,62.91,88,111.75,97.440002,65.849998,64.230003,122.040001,57.689999,41.669998,90.889999,71.739998,110.230003,165.380005,249.330002,136.929993,145.300003,179.429993,179.399994
"19",86.379997,81.32,122.209999,90.620003,49.630001,112.550003,36.200001,80.059998,186.350006,127.650002,34.18,34.119999,62.259998,87.940002,112.5,96.660004,65.870003,63.98,122.239998,57.16,41.959999,91.07,70.93,110.089996,165.380005,248.059998,136.990005,144.910004,180.229996,179.820007
"20",86.769997,83.019997,123.860001,93.599998,49.810001,113.68,35.93,81.919998,189.860001,129.050003,34.439999,34.419998,63.459999,88.989998,113.879997,98.580002,66.209999,64.940002,124.989998,57.950001,42.16,91.660004,70.449997,111.040001,167.940002,252.710007,139.789993,146.679993,183.910004,181.949997
"21",86.739998,83.300003,123.629997,92.139999,49.98,112.690002,35.91,80.099998,189.889999,128.229996,34.389999,34.509998,63.349998,88.529999,113.360001,94.360001,66.080002,64.010002,124.519997,57.799999,42.470001,90.910004,70.760002,110.589996,167.309998,251.059998,138.960007,147.949997,182.990005,180.529999
"22",85.889999,82.459999,123.790001,92.800003,50.09,112.339996,35.900002,79.879997,189.309998,127.900002,34.290001,34.52,63.259998,88.790001,113.550003,95.120003,66.580002,64.25,124.129997,56.700001,42.48,90.5,70.029999,111.239998,168.199997,252.889999,139.779999,147.809998,182.179993,180.050003
"23",85.879997,82.830002,123.709999,91.919998,50.029999,111.660004,35.57,79.5,188.899994,128.029999,34.189999,34.349998,63.509998,88.940002,113.169998,95.660004,66.470001,64.269997,122.32,56.77,42.18,90.370003,69.879997,110.669998,168.699997,252.009995,139.339996,147.130005,180.929993,180.470001
"24",85.989998,82.519997,123.830002,91.410004,49.439999,112.279999,35.799999,79.580002,189.089996,128.070007,34.200001,33.990002,63.150002,89.059998,111.809998,95.93,65.959999,64.400002,122.139999,56.549999,41.990002,90.290001,69.870003,110.860001,168.300003,250.899994,139.520004,146.020004,182.020004,180.380005
"25",85.160004,81.029999,124.099998,91.209999,49.16,111.75,35.619999,79.040001,189.509995,128.089996,34.02,33.91,63.279999,88.959999,109.610001,93.230003,65.800003,64.989998,121.239998,56.509998,41.990002,90.139999,69.800003,110.839996,167.910004,250.240005,139,146.919998,181.740005,179.449997
"26",85.309998,81.669998,125.949997,91.57,49.279999,111.93,35.82,79.300003,189.899994,128.139999,34.07,34.049999,63.540001,89.110001,110.040001,91.389999,65.889999,64.730003,121.900002,56.360001,42.029999,90.339996,69.860001,111.029999,168.009995,250.179993,138.679993,146.619995,180.570007,177.179993
